zinc_id,smiles
ZINC000004214532,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)COC(=O)c2cc3ccccc3o2)O1
ZINC000004214672,Clc1ccc(OCCCO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
ZINC000004214760,C=CCNCCC(OC)(c1ccccc1)c1ccccc1
ZINC000004214910,C1=CC(=Nn2cccc2)C=CC1=Nn1cccc1
ZINC000004214996,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Cc1ccccc1
ZINC000040651199,COC(=O)C1=C(C)NC(C)=C(C(=O)OC[C@@H]2COC3(CCN(c4ccc(Cl)cc4)CC3)O2)[C@H]1c1cccc([N+](=O)[O-])c1
ZINC000003869573,CN1C(=O)CC[C@H]1c1ccc[n+]([C@@H]2O[C@@H](C(=O)O)[C@@H](O)[C@@H](O)[C@H]2O)c1
ZINC000003874427,CN1C[C@@H](O)[C@H](O)[C@H](O)[C@@H]1CO
ZINC000004634613,CN[C@H]1CCc2c(ccc(OC(=O)C(C)C)c2OC(=O)C(C)C)C1
ZINC000003830433,NCc1ccccc1CC(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12
ZINC000003830577,O=C(O)[C@@H]1CCc2cc(C3CCCCC3)c(Cl)cc21
ZINC000003839138,CCn1c(=O)c2c(nc(N[C@@H]3CCC[C@H]3O)n2Cc2ccc(OC)c(Br)c2)n(CCO)c1=O
ZINC000003871808,CCCC[C@H](CC)CNC(=O)C[C@H](C)OC(=O)CCC(=O)O
ZINC000003872347,CCOC(=O)Oc1ccc(CCNC(=O)[C@H](CCSC)NC(C)=O)cc1OC(=O)OCC
ZINC000003916138,CC[C@H]1C(=O)Nc2ccc(F)cc2N1C(=O)OC(C)C
ZINC000003945596,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)COC(=O)CCN)C[C@@H]3O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]1F
ZINC000003956886,CCO[C@@H]1O[C@H]([C@H](COCc2ccccc2)OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O
